NICsChecksID,Month,State,Permit,Permit_Recheck,Handgun,Long_Gun,Other,Multiple,Admin,PrePawn_Handgun,Pre_Pawn_Long_Gun,Prepawn_Other,Redemption_Handgun,Redemption_Long_Gun,Redemption_Other,Returned_Handgun,Returned_Long_Gun,Returned_Other,Rentals_Handgun,Rentals_Long_Gun,Private_Sale_Handgun,private_sale_long_gun,Private_Sale_Other,Return_To_Seller_Handgun,Return_To_Seller_Long_Gun,Return_To_Seller_Other,Totals,Latitude,longitude
14323,2000-09,Massachusetts,2966,,999,1054,,22,212,,,,,,,,,,,,,,,,,,5253,41.6942,-71.1366
14324,2000-09,Michigan,9453,,74,23416,,3,0,,,,,,,,,,,,,,,,,,32946,42.3819,-83.2819
14325,2000-09,Minnesota,2652,,2358,20774,,160,0,,,,,,,,,,,,,,,,,,25944,44.9918,-93.1702
14326,2000-09,Mississippi,0,,4209,9669,,171,0,,,,,,,,,,,,,,,,,,14049,33.6071,-88.659
14327,2000-09,Missouri,0,,2441,13584,,112,0,,,,,,,,,,,,,,,,,,16137,38.6167,-90.1936
14328,2000-09,Montana,0,,1509,6283,,121,3,,,,,,,,,,,,,,,,,,7916,45.776,-108.498
14329,2000-09,Nebraska,1221,,24,2986,,3,0,,,,,,,,,,,,,,,,,,4234,42.268,-96.8673
14330,2000-09,Nevada,0,,1877,2326,,100,0,,,,,,,,,,,,,,,,,,4303,36.1782,-115.064
14331,2000-09,New Hampshire,59,,1219,2919,,20,0,,,,,,,,,,,,,,,,,,4217,43.2465,-70.8627
14332,2000-09,New Jersey,0,,1102,1854,,56,2,,,,,,,,,,,,,,,,,,3014,40.7047,-74.0794
14333,2000-09,New Mexico,0,,2269,4861,,138,0,,,,,,,,,,,,,,,,,,7268,32.7116,-104.396
14334,2000-09,New York,4847,,775,11623,,12,50,,,,,,,,,,,,,,,,,,17307,40.6403,-74.166
14335,2000-09,North Carolina,6494,,1404,15660,,103,0,,,,,,,,,,,,,,,,,,23661,35.1002,-78.9817
14336,2000-09,North Dakota,192,,367,3651,,26,0,,,,,,,,,,,,,,,,,,4236,47.8889,-97.0635
14337,2000-09,Ohio,0,,7361,16241,,513,0,,,,,,,,,,,,,,,,,,24115,39.1016,-84.5097
14338,2000-09,Oklahoma,0,,3712,9086,,282,0,,,,,,,,,,,,,,,,,,13080,35.7479,-95.3697
14339,2000-09,Oregon,0,,4050,10969,,209,0,,,,,,,,,,,,,,,,,,15228,45.5867,-122.587
14340,2000-09,Pennsylvania,281,,0,40956,,635,0,,,,,,,,,,,,,,,,,,41872,39.9325,-75.1745
14342,2000-09,Rhode Island,0,,308,371,,75,0,,,,,,,,,,,,,,,,,,754,41.8201,-71.4281
14343,2000-09,South Carolina,540,,3438,7245,,106,0,,,,,,,,,,,,,,,,,,11329,32.7792,-80.2227
14344,2000-09,South Dakota,0,,472,4191,,32,0,,,,,,,,,,,,,,,,,,4695,43.3067,-100.581
14345,2000-09,Tennessee,0,,7237,11546,,304,0,,,,,,,,,,,,,,,,,,19087,35.1446,-85.2751
14346,2000-09,Texas,6590,,14335,43313,,872,0,,,,,,,,,,,,,,,,,,65110,35.2094,-101.852
14347,2000-09,Utah,0,,1395,5562,,62,0,,,,,,,,,,,,,,,,,,7019,40.7791,-111.942
14348,2000-09,Vermont,0,,459,1754,,18,0,,,,,,,,,,,,,,,,,,2231,43.6081,-73.2739
14350,2000-09,Virginia,0,,5562,10679,,156,0,,,,,,,,,,,,,,,,,,16397,36.9172,-76.2739
14351,2000-09,Washington,1894,,2777,8836,,156,22,,,,,,,,,,,,,,,,,,13685,46.8306,-122.252
